"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 5:03:02 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço;Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:03:21 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet;Contato com Cooperativa(motoboy)","Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:03:46 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:03:48 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:03:58 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:04:03 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:04:13 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:04:34 PM GMT-3","Sim","Raramente","Carro","O motorista é um conhecido;aplicativo (uber eats)","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:04:55 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Preço","Barato","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 5:05:51 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém;O motorista é um conhecido;Contato com Cooperativa(motoboy)","Segurança","Um pouco acima do preço","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:05:59 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 5:06:40 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 5:06:47 PM GMT-3","Sim","Raramente","Carro","Pesquisei na internet","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 5:07:02 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
